team,shirtnumber,player,position,club,birth_place,birth_date,age,games,minutes,goals
argentina,8,marcos acuna,DF,sevilla,"Zapala, Argentina",1991-10-28,31-023,6,373,0
argentina,16,thiago almada,MF,atlanta utd,"Argentina, Argentina",2001-04-26,21-208,1,7,0
argentina,9,julian alvarez,FW,manchester city,"Argentina, Argentina",2000-01-31,22-293,7,464,4
argentina,1,franco armani,GK,river plate,"Casilda, Argentina",1986-10-16,36-035,0,,
argentina,15,angel correa,MF,atletico madrid,"Rosario, Argentina",1995-03-09,27-256,1,5,0
argentina,7,rodrigo de paul,MF,atletico madrid,"Sarandí, Argentina",1994-05-24,28-180,7,599,0
argentina,11,angel di maria,MF,juventus,"Rosario, Argentina",1988-02-14,34-279,5,288,1
argentina,21,paulo dybala,FW,roma,"Laguna Larga, Argentina",1993-11-15,29-005,2,18,0
argentina,24,enzo fernandez,MF,benfica,"Argentina, Argentina",2001-01-17,21-307,7,564,1
argentina,2,juan foyth,DF,villarreal,"La Plata, Argentina",1998-01-12,24-312,1,5,0
argentina,17,papu gomez,MF,sevilla,"Buenos Aires, Argentina",1988-02-15,34-278,2,107,0
argentina,20,alexis mac allister,MF,brighton,"Santa Rosa, Argentina",1998-12-24,23-331,6,550,1
argentina,23,emiliano martinez,GK,aston villa,"Mar del Plata, Argentina",1992-09-02,30-079,7,690,0
argentina,22,lautaro martinez,FW,inter,"Bahía Blanca, Argentina",1997-08-22,25-090,6,241,0
argentina,25,lisandro martinez,DF,manchester utd,"Gualeguay, Argentina",1998-01-18,24-306,5,303,0
argentina,10,lionel messi,FW,paris s-g,"Rosario, Argentina",1987-06-24,35-149,7,690,7
argentina,26,nahuel molina,DF,atletico madrid,"Embalse, Argentina",1998-04-06,24-228,7,567,1
argentina,4,gonzalo montiel,DF,sevilla,"González Catán, Argentina",1997-01-01,25-323,4,118,0
argentina,19,nicolas otamendi,DF,benfica,"Buenos Aires, Argentina",1988-02-12,34-281,7,690,0
argentina,14,exequiel palacios,MF,leverkusen,"Famaillá, Argentina",1998-10-05,24-046,3,50,0
argentina,5,leandro paredes,MF,juventus,"San Justo, Argentina",1994-06-29,28-144,5,225,0
argentina,6,german pezzella,DF,betis,"Bahía Blanca, Argentina",1991-06-27,31-146,3,60,0
argentina,18,guido rodriguez,MF,betis,"Sáenz Peña, Argentina",1994-04-12,28-222,1,56,0
argentina,13,cristian romero,DF,tottenham,"Córdoba, Argentina",1998-04-27,24-207,7,547,0
argentina,12,geronimo rulli,GK,villarreal,"La Plata, Argentina",1992-05-20,30-184,0,,
argentina,3,nicolas tagliafico,DF,lyon,"Buenos Aires, Argentina",1992-08-31,30-081,6,373,0
france,23,alphonse areola,GK,west ham,"Paris, France",1993-02-27,29-266,0,,
france,25,eduardo camavinga,DF,real madrid,"Cabinda, Angola",2002-11-10,20-010,2,140,0
france,20,kingsley coman,FW,bayern munich,"Paris, France",1996-06-13,26-160,6,169,0
france,11,ousmane dembele,FW,barcelona,"Vernon, France",1997-05-15,25-189,7,433,0
france,3,axel disasi,DF,monaco,"Gonesse, France",1998-03-11,24-254,3,92,0
france,13,youssouf fofana,MF,monaco,"Paris, France",1999-01-10,23-314,6,227,0
france,9,olivier giroud,FW,milan,"Chambéry, France",1986-09-30,36-051,6,419,4
france,7,antoine griezmann,MF,atletico madrid,"Mâcon, France",1991-03-21,31-244,7,537,0
france,6,matteo guendouzi,FW,marseille,"Poissy, France",1999-04-14,23-220,1,78,0
france,21,lucas hernandez,DF,bayern munich,"Marseille, France",1996-02-14,26-279,1,12,0
france,22,theo hernandez,DF,milan,"Marseille, France",1997-10-06,25-045,6,508,1
france,12,randal kolo muani,FW,eint frankfurt,"Bondy, France",1998-12-05,23-350,3,182,1
france,24,ibrahima konate,DF,liverpool,"Paris, France",1999-05-25,23-179,5,294,0
france,5,jules kounde,DF,barcelona,"Paris, France",1998-11-12,24-008,6,480,0
france,1,hugo lloris,GK,tottenham,"Nice, France",1986-12-26,35-329,6,570,0
france,16,steve mandanda,GK,rennes,"Kinshasa, Congo DR",1985-03-28,37-237,1,90,0
france,10,kylian mbappe,FW,paris s-g,"Paris 19 Buttes-Chaumont, France",1998-12-20,23-335,7,598,8
france,2,benjamin pavard,DF,bayern munich,"Maubeuge, France",1996-03-28,26-237,1,88,0
france,14,adrien rabiot,MF,juventus,"Saint-Maurice, France",1995-04-03,27-231,6,483,1
france,17,william saliba,DF,arsenal,"Bondy, France",2001-03-24,21-241,1,28,0
france,8,aurelien tchouameni,MF,real madrid,"Rouen, France",2000-01-27,22-297,7,621,1
france,26,marcus thuram,FW,gladbach,"Provincia di Parma, Italy",1997-08-06,25-106,5,151,0
france,18,dayot upamecano,DF,bayern munich,"Évreux, France",1998-10-27,24-024,5,480,0
france,4,raphael varane,DF,manchester utd,"Lille, France",1993-04-25,29-209,6,518,0
france,15,jordan veretout,MF,marseille,"Ancenis, France",1993-03-01,29-264,1,62,0
croatia,3,borna barisic,DF,rangers,"Grad Osijek, Croatia",1992-11-10,30-010,1,120,0
croatia,11,marcelo brozovic,MF,inter,"Zagreb, Croatia",1992-11-16,30-004,6,552,0
croatia,17,ante budimir,FW,osasuna,"Zenica, Bosnia and Herzegovina",1991-07-22,31-121,2,55,0
croatia,5,martin erlic,DF,sassuolo,"Zadar, Croatia",1998-01-24,24-300,0,,
croatia,12,ivo grbic,GK,atletico madrid,"Grad Split, Croatia",1996-01-18,26-306,0,,
croatia,20,josko gvardiol,DF,rb leipzig,"Zagreb, Croatia",2002-01-23,20-301,7,690,1
croatia,23,ivica ivusic,GK,osijek,"Grad Rijeka, Croatia",1995-02-01,27-292,0,,
croatia,26,kristijan jakic,FW,eint frankfurt,"Grad Split, Croatia",1997-05-14,25-190,1,1,0
croatia,22,josip juranovic,DF,celtic,"Zagreb, Croatia",1995-08-16,27-096,6,600,0
croatia,8,mateo kovacic,MF,chelsea,"Linz, Austria",1994-05-06,28-198,7,635,0
croatia,9,andrej kramaric,FW,hoffenheim,"Zagreb, Croatia",1991-06-19,31-154,7,474,2
croatia,14,marko livaja,FW,hajduk split,"Grad Split, Croatia",1993-08-26,29-086,6,241,1
croatia,1,dominik livakovic,GK,dinamo zagreb,"Zadar, Croatia",1995-01-09,27-315,7,690,0
croatia,6,dejan lovren,DF,zenit,"Zenica, Bosnia and Herzegovina",1989-07-05,33-138,6,600,0
croatia,7,lovro majer,MF,rennes,"Zagreb, Croatia",1998-01-17,24-307,7,130,1
croatia,10,luka modric,MF,real madrid,"Zadar, Croatia",1985-09-09,37-072,7,653,0
croatia,18,mislav orsic,FW,dinamo zagreb,"Zagreb, Croatia",1992-12-29,29-326,6,162,1
croatia,15,mario pasalic,FW,atalanta,"Mainz, Germany",1995-02-09,27-284,7,271,0
croatia,4,ivan perisic,FW,tottenham,"Grad Split, Croatia",1989-02-02,33-291,7,669,1
croatia,16,bruno petkovic,FW,dinamo zagreb,"Metković, Croatia",1994-09-16,28-065,6,234,1
croatia,19,borna sosa,DF,stuttgart,"Zagreb, Croatia",1998-01-21,24-303,5,424,0
croatia,2,josip stanisic,DF,bayern munich,"München, Germany",2000-04-02,22-232,1,90,0
croatia,25,luka sucic,FW,rb salzburg,"Linz, Austria",2002-09-08,20-073,0,,
croatia,24,josip sutalo,DF,dinamo zagreb,"Čapljina, Bosnia and Herzegovina",2000-02-28,22-265,1,90,0
croatia,21,domagoj vida,DF,aek athens,"Grad Osijek, Croatia",1989-04-29,33-205,0,,
croatia,13,nikola vlasic,FW,torino,"Grad Split, Croatia",1997-10-04,25-047,6,209,0
morocco,14,zakaria aboukhlal,FW,toulouse,"Rotterdam, Netherlands",2000-02-18,22-275,4,79,1
morocco,5,nayef aguerd,DF,west ham,"Kenitra, Morocco",1996-03-30,26-235,4,353,0
morocco,15,selim amallah,MF,standard liege,"Hautrage, Belgium",1996-11-15,26-005,7,409,0
morocco,4,sofyan amrabat,MF,fiorentina,"Gemeente Huizen, Netherlands",1996-08-21,26-091,7,660,0
morocco,25,yahya attiat allah,DF,wydad casablanca,"Safi, Morocco",1995-03-02,27-263,6,318,0
morocco,24,badr banoun,DF,qatar sc,"Casablanca, Morocco",1993-09-30,29-051,3,54,0
morocco,17,sofiane boufal,FW,angers,"Paris, France",1993-09-17,29-064,7,475,0
morocco,1,yassine bounou,GK,sevilla,"Montréal, QC, Canada",1991-04-05,31-229,6,570,0
morocco,13,ilias chair,MF,qpr,"Brugge, Belgium",1997-10-30,25-021,1,45,0
morocco,21,walid cheddira,FW,bari,"Loreto, Italy",1998-01-22,24-302,2,64,0
morocco,20,achraf dari,DF,brest,"Casablanca, Morocco",1999-05-06,23-198,3,187,1
morocco,19,youssef en-nesyri,FW,sevilla,"Fes-Medina, Morocco",1997-06-01,25-172,7,542,2
morocco,16,abde ezzalzouli,FW,osasuna,"Beni Mellal, Morocco",2001-12-17,20-338,3,93,0
morocco,2,achraf hakimi,DF,paris s-g,"Getafe, Spain",1998-11-04,24-016,7,631,0
morocco,9,abderrazak hamdallah,FW,al-ittihad,"Safi, Morocco",1990-12-17,31-338,4,68,0
morocco,26,yahya jabrane,MF,wydad casablanca,"Settat, Morocco",1991-06-18,31-155,2,15,0
morocco,23,bilal el khannouss,MF,genk,"Strombeek-Bever, Belgium",2004-05-10,18-194,1,55,0
morocco,3,noussair mazraoui,DF,bayern munich,"Leiderdorp, Netherlands",1997-11-14,25-006,5,365,0
morocco,12,munir,GK,al-wehda,Spain,1989-05-10,33-194,1,90,0
morocco,8,azzedine ounahi,MF,angers,"Casablanca, Morocco",2000-04-19,22-215,7,568,0
morocco,22,ahmed reda tagnaouti,GK,wydad casablanca,"Casablanca, Morocco",1996-04-05,26-229,0,,
morocco,11,abdelhamid sabiri,MF,sampdoria,"Goulmima, Morocco",1996-11-28,25-357,5,181,0
morocco,6,romain saiss,DF,besiktas,"Bourg-de-Péage, France",1990-03-26,32-239,6,466,1
