team,first_team_name,second_team_name,own_goals,player,shirtnumber,position,age,club,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
argentina,argentina,saudi arabia,0,lautaro martinez,22,FW,25-092,1.it Inter,90,0,0,0,0,2,0,0,0,22,0,1,0,0.1,0.1,0.0,1,0,11,14,78.6,0,14,0,1,0
argentina,argentina,saudi arabia,0,lionel messi,10,FW,35-151,1.fr Paris S-G,90,1,0,1,1,3,2,0,0,59,0,0,1,1.0,0.3,0.2,5,0,34,47,72.3,11,42,2,3,2
argentina,argentina,saudi arabia,0,papu gomez,17,LM,34-280,1.es Sevilla,58,0,0,0,0,1,0,0,0,33,1,1,1,0.0,0.0,0.0,1,0,22,27,81.5,1,24,1,1,0
argentina,argentina,saudi arabia,0,julian alvarez,9,LM,22-295,1.eng Manchester City,32,0,0,0,0,1,1,0,0,10,1,0,1,0.0,0.0,0.0,0,0,1,8,12.5,0,3,0,0,0
argentina,argentina,saudi arabia,0,leandro paredes,5,CM,28-146,1.it Juventus,58,0,0,0,0,0,0,0,0,67,2,2,0,0.0,0.0,0.0,2,1,56,61,91.8,2,50,1,0,0
argentina,argentina,saudi arabia,0,enzo fernandez,24,CM,21-309,1.pt Benfica,32,0,0,0,0,1,0,0,0,42,1,0,0,0.0,0.0,0.0,1,0,32,38,84.2,5,32,1,0,0
argentina,argentina,saudi arabia,0,rodrigo de paul,7,CM,28-182,1.es Atlético Madrid,90,0,0,0,0,1,0,0,0,95,2,1,2,0.1,0.1,0.0,2,0,63,85,74.1,7,59,2,0,0
argentina,argentina,saudi arabia,0,angel di maria,11,RM,34-281,1.it Juventus,90,0,0,0,0,2,1,0,0,52,2,0,1,0.1,0.1,0.2,4,0,31,40,77.5,7,42,6,5,2
argentina,argentina,saudi arabia,0,nicolas tagliafico,3,LB,30-083,1.fr Lyon,70,0,0,0,0,1,1,0,0,44,2,1,4,0.7,0.7,0.0,0,0,26,34,76.5,1,24,0,1,0
argentina,argentina,saudi arabia,0,marcos acuna,8,LB,31-025,1.es Sevilla,20,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.1,3,0,18,23,78.3,0,7,1,0,0
argentina,argentina,saudi arabia,0,nicolas otamendi,19,CB,34-283,1.pt Benfica,90,0,0,0,0,1,0,0,0,104,2,2,0,0.0,0.0,0.1,1,0,88,96,91.7,3,84,1,0,0
argentina,argentina,saudi arabia,0,cristian romero,13,CB,24-209,1.eng Tottenham,58,0,0,0,0,0,0,0,0,67,1,0,1,0.0,0.0,0.0,1,0,58,64,90.6,2,56,0,1,1
argentina,argentina,saudi arabia,0,lisandro martinez,25,CB,24-308,1.eng Manchester Utd,32,0,0,0,0,1,0,0,0,38,1,0,0,0.1,0.1,0.7,1,0,31,34,91.2,2,24,0,1,0
argentina,argentina,saudi arabia,0,nahuel molina,26,RB,24-230,1.es Atlético Madrid,90,0,0,0,0,0,0,0,0,70,1,1,0,0.0,0.0,0.0,3,0,55,66,83.3,5,37,3,1,1
argentina,argentina,saudi arabia,0,emiliano martinez,23,GK,30-081,1.eng Aston Villa,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,20,22,90.9,0,17,0,0,0
argentina,argentina,mexico,0,lautaro martinez,22,FW,25-096,1.it Inter,62,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,0,0,3,6,50.0,0,7,0,1,1
argentina,argentina,mexico,0,julian alvarez,9,FW,22-299,1.eng Manchester City,28,0,0,0,0,0,0,0,0,14,1,0,1,0.0,0.0,0.0,0,0,6,8,75.0,0,7,1,1,0
argentina,argentina,mexico,0,lionel messi,10,FW,35-155,1.fr Paris S-G,90,1,1,0,0,2,1,0,0,56,1,0,0,0.1,0.1,0.0,3,1,36,44,81.8,6,45,2,6,2
argentina,argentina,mexico,0,alexis mac allister,20,LM,23-337,1.eng Brighton,68,0,0,0,0,0,0,0,0,44,2,1,0,0.0,0.0,0.0,1,0,34,38,89.5,3,32,4,2,1
argentina,argentina,mexico,0,exequiel palacios,14,CM,24-052,1.de Leverkusen,22,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,7,7,100.0,0,4,0,0,0
argentina,argentina,mexico,0,guido rodriguez,18,CM,28-228,1.es Betis,56,0,0,0,0,0,0,0,0,68,2,0,1,0.0,0.0,0.0,0,0,54,64,84.4,1,48,0,0,0
argentina,argentina,mexico,0,enzo fernandez,24,CM,21-313,1.pt Benfica,34,1,0,0,0,1,1,0,0,32,1,1,1,0.0,0.0,0.0,2,2,22,28,78.6,4,21,1,1,1
argentina,argentina,mexico,0,rodrigo de paul,7,CM,28-186,1.es Atlético Madrid,90,0,0,0,0,0,0,0,0,82,0,1,1,0.0,0.0,0.0,0,0,58,69,84.1,4,51,4,3,0
argentina,argentina,mexico,0,angel di maria,11,RM,34-285,1.it Juventus,68,0,1,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.1,2,1,21,29,72.4,1,29,7,9,5
argentina,argentina,mexico,0,cristian romero,13,CB,24-213,1.eng Tottenham,22,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0
argentina,argentina,mexico,0,marcos acuna,8,LB,31-029,1.es Sevilla,90,0,0,0,0,0,0,0,0,50,2,1,3,0.0,0.0,0.1,1,0,27,38,71.1,1,24,0,3,0
argentina,argentina,mexico,0,lisandro martinez,25,CB,24-312,1.eng Manchester Utd,90,0,0,0,0,0,0,0,0,65,1,1,1,0.0,0.0,0.0,0,0,47,56,83.9,1,45,1,0,0
argentina,argentina,mexico,0,nicolas otamendi,19,CB,34-287,1.pt Benfica,90,0,0,0,0,0,0,0,0,99,3,1,0,0.0,0.0,0.0,0,0,77,86,89.5,4,69,0,0,0
argentina,argentina,mexico,0,gonzalo montiel,4,RB,25-329,1.es Sevilla,62,0,0,0,0,0,0,1,0,58,1,1,0,0.0,0.0,0.0,0,0,47,51,92.2,3,37,1,1,0
argentina,argentina,mexico,0,nahuel molina,26,RB,24-234,1.es Atlético Madrid,28,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,10,13,76.9,1,8,0,0,0
argentina,argentina,mexico,0,emiliano martinez,23,GK,30-085,1.eng Aston Villa,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,18,27,66.7,0,18,0,0,0
argentina,poland,argentina,0,lionel messi,10,"FW,RW",35-159,1.fr Paris S-G,90,0,0,0,1,6,3,0,0,86,1,0,0,1.2,0.4,0.5,9,0,59,71,83.1,15,70,6,7,4
argentina,poland,argentina,0,julian alvarez,9,"LW,FW",22-303,1.eng Manchester City,78,1,0,0,0,6,3,0,0,36,0,0,1,1.0,1.0,0.0,3,0,20,23,87.0,1,22,4,2,0
argentina,poland,argentina,0,lautaro martinez,22,RW,25-100,1.it Inter,12,0,0,0,0,1,0,0,0,12,0,0,0,0.2,0.2,0.0,1,0,10,11,90.9,0,12,1,0,0
argentina,poland,argentina,0,angel di maria,11,RW,34-289,1.it Juventus,58,0,0,0,0,2,1,0,0,60,1,0,1,0.1,0.1,0.1,5,1,41,53,77.4,7,47,5,5,2
argentina,poland,argentina,0,leandro paredes,5,CM,28-154,1.it Juventus,32,0,0,0,0,0,0,0,0,80,0,0,0,0.0,0.0,0.0,1,1,77,80,96.3,4,62,0,0,0
argentina,poland,argentina,0,alexis mac allister,20,"LM,LW",23-341,1.eng Brighton,83,1,0,0,0,2,2,0,0,65,3,0,1,0.3,0.3,0.3,5,0,50,53,94.3,4,49,4,0,0
argentina,poland,argentina,0,thiago almada,16,CM,21-218,1.us Atlanta Utd,7,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.2,1,0,13,13,100.0,2,15,1,0,0
argentina,poland,argentina,0,enzo fernandez,24,"CM,LM",21-317,1.pt Benfica,78,0,1,0,0,1,0,0,0,99,2,1,0,0.0,0.0,0.4,3,1,86,94,91.5,4,79,3,0,0
argentina,poland,argentina,0,german pezzella,6,CB,31-156,1.es Betis,12,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,18,18,100.0,1,14,0,0,0
argentina,poland,argentina,0,rodrigo de paul,7,"RM,CM",28-190,1.es Atlético Madrid,90,0,0,0,0,1,1,0,0,160,2,2,2,0.6,0.6,0.0,6,0,139,151,92.1,12,133,5,1,0
argentina,poland,argentina,0,marcos acuna,8,LB,31-033,1.es Sevilla,58,0,0,0,0,2,0,1,0,52,1,0,1,0.1,0.1,0.0,0,0,35,43,81.4,2,32,3,0,0
argentina,poland,argentina,0,nicolas tagliafico,3,"LB,LM",30-091,1.fr Lyon,32,0,0,0,0,1,0,0,0,39,0,0,0,0.2,0.2,0.2,2,0,38,39,97.4,1,34,3,0,0
argentina,poland,argentina,0,nicolas otamendi,19,CB,34-291,1.pt Benfica,90,0,0,0,0,0,0,0,0,99,1,2,1,0.0,0.0,0.0,1,0,89,92,96.7,13,84,3,0,0
argentina,poland,argentina,0,cristian romero,13,CB,24-217,1.eng Tottenham,90,0,0,0,0,0,0,0,0,81,0,0,0,0.0,0.0,0.0,0,0,70,78,89.7,3,62,1,0,0
argentina,poland,argentina,0,nahuel molina,26,"RB,RM",24-238,1.es Atlético Madrid,90,0,1,0,0,0,0,0,0,88,2,0,4,0.0,0.0,0.3,3,1,70,78,89.7,3,58,1,0,0
argentina,poland,argentina,0,emiliano martinez,23,GK,30-089,1.eng Aston Villa,90,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,12,14,85.7,0,11,0,0,0
argentina,argentina,australia,0,lionel messi,10,FW,35-162,1.fr Paris S-G,90,1,0,0,0,6,2,0,0,73,1,0,0,0.4,0.4,0.5,8,1,51,60,85.0,10,56,8,2,1
argentina,argentina,australia,0,papu gomez,17,"LW,RW",34-291,1.es Sevilla,49,0,0,0,0,1,0,0,0,36,1,0,0,0.0,0.0,0.0,0,0,31,33,93.9,4,28,1,1,1
argentina,argentina,australia,0,lisandro martinez,25,CB,24-319,1.eng Manchester Utd,41,0,0,0,0,0,0,0,0,25,1,0,1,0.0,0.0,0.0,0,0,18,21,85.7,1,15,0,0,0
argentina,argentina,australia,0,julian alvarez,9,"RW,FW,LW",22-306,1.eng Manchester City,70,1,0,0,0,1,1,0,0,26,0,0,3,0.6,0.6,0.0,0,0,14,17,82.4,0,12,1,0,0
argentina,argentina,australia,0,lautaro martinez,22,FW,25-103,1.it Inter,20,0,0,0,0,4,2,0,0,20,0,0,0,0.6,0.6,0.0,3,0,8,11,72.7,0,12,0,3,1
argentina,argentina,australia,0,alexis mac allister,20,"LM,AM",23-344,1.eng Brighton,79,0,0,0,0,0,0,0,0,49,1,1,2,0.0,0.0,0.0,2,1,38,42,90.5,3,36,0,1,0
argentina,argentina,australia,0,gonzalo montiel,4,AM,25-336,1.es Sevilla,11,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,3,0,0,0
argentina,argentina,australia,1,enzo fernandez,24,CM,21-320,1.pt Benfica,90,0,0,0,0,0,0,0,0,110,3,1,1,0.0,0.0,0.0,2,0,92,100,92.0,4,80,2,0,0
argentina,argentina,australia,0,rodrigo de paul,7,"RM,CM",28-193,1.es Atlético Madrid,90,0,0,0,0,0,0,0,0,100,2,2,2,0.0,0.0,0.1,4,0,75,91,82.4,4,67,0,1,0
argentina,argentina,australia,0,marcos acuna,8,"LB,WB",31-036,1.es Sevilla,71,0,0,0,0,0,0,0,0,67,3,0,1,0.0,0.0,0.0,0,0,49,58,84.5,4,50,0,0,0
argentina,argentina,australia,0,nicolas tagliafico,3,WB,30-094,1.fr Lyon,19,0,0,0,0,1,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,9,13,69.2,0,8,2,1,0
argentina,argentina,australia,0,nicolas otamendi,19,CB,34-294,1.pt Benfica,90,0,1,0,0,0,0,0,0,108,1,1,0,0.0,0.0,0.0,1,0,89,98,90.8,4,79,1,0,0
argentina,argentina,australia,0,cristian romero,13,CB,24-220,1.eng Tottenham,90,0,0,0,0,0,0,0,0,84,1,1,1,0.0,0.0,0.0,0,0,73,79,92.4,3,58,0,0,0
argentina,argentina,australia,0,nahuel molina,26,"RB,WB",24-241,1.es Atlético Madrid,79,0,0,0,0,0,0,0,0,69,0,0,0,0.0,0.0,0.0,1,0,56,63,88.9,1,42,0,0,0
argentina,argentina,australia,0,exequiel palacios,14,WB,24-059,1.de Leverkusen,11,0,0,0,0,1,0,0,0,9,0,1,0,0.1,0.1,0.1,2,0,4,6,66.7,1,3,0,0,0
argentina,argentina,australia,0,emiliano martinez,23,GK,30-092,1.eng Aston Villa,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,23,31,74.2,0,22,0,0,0
argentina,netherlands,argentina,0,julian alvarez,9,FW,22-312,1.eng Manchester City,81,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.1,1,0,12,17,70.6,0,19,2,0,0
argentina,netherlands,argentina,0,lautaro martinez,22,"FW,LW",25-109,1.it Inter,39,0,0,0,0,2,1,0,0,20,0,0,1,0.3,0.3,0.0,0,0,9,13,69.2,0,14,0,0,0
argentina,netherlands,argentina,0,lionel messi,10,FW,35-168,1.fr Paris S-G,120,1,1,1,1,5,1,1,0,57,0,0,0,1.0,0.2,0.5,7,1,38,47,80.9,6,39,4,5,2
argentina,netherlands,argentina,0,alexis mac allister,20,"CM,LM",23-350,1.eng Brighton,120,0,0,0,0,0,0,0,0,56,1,0,5,0.0,0.0,0.0,1,0,38,43,88.4,6,36,5,1,1
argentina,netherlands,argentina,0,enzo fernandez,24,"CM,RM",21-326,1.pt Benfica,120,0,0,0,0,2,0,0,0,80,1,0,1,0.1,0.1,0.3,3,0,61,72,84.7,3,62,3,2,1
argentina,netherlands,argentina,0,rodrigo de paul,7,CM,28-199,1.es Atlético Madrid,65,0,0,0,0,2,1,0,0,62,2,1,0,0.1,0.1,0.1,2,0,41,54,75.9,5,45,2,1,1
argentina,netherlands,argentina,0,leandro paredes,5,CM,28-163,1.it Juventus,55,0,0,0,0,0,0,1,0,56,3,0,0,0.0,0.0,0.0,3,0,45,50,90.0,3,39,2,1,0
argentina,netherlands,argentina,0,marcos acuna,8,LB,31-042,1.es Sevilla,77,0,0,0,0,0,0,1,0,35,3,1,1,0.0,0.0,0.0,1,1,19,27,70.4,1,22,0,3,2
argentina,netherlands,argentina,0,nicolas tagliafico,3,LB,30-100,1.fr Lyon,43,0,0,0,0,0,0,0,0,14,1,0,1,0.0,0.0,0.0,0,0,9,10,90.0,0,4,0,0,0
argentina,netherlands,argentina,0,lisandro martinez,25,CB,24-325,1.eng Manchester Utd,111,0,0,0,0,0,0,1,0,49,2,2,1,0.0,0.0,0.0,1,0,29,36,80.6,2,28,2,0,0
argentina,netherlands,argentina,0,angel di maria,11,RW,34-298,1.it Juventus,9,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.1,4,0,9,14,64.3,3,8,0,0,0
argentina,netherlands,argentina,0,nicolas otamendi,19,CB,34-300,1.pt Benfica,120,0,0,0,0,0,0,1,0,99,2,0,0,0.0,0.0,0.0,0,0,84,92,91.3,6,68,0,0,0
argentina,netherlands,argentina,0,cristian romero,13,CB,24-226,1.eng Tottenham,77,0,0,0,0,0,0,1,0,55,2,1,0,0.0,0.0,0.0,1,1,44,47,93.6,2,42,2,0,0
argentina,netherlands,argentina,0,german pezzella,6,CB,31-165,1.es Betis,43,0,0,0,0,1,0,1,0,28,0,0,0,0.1,0.1,0.0,0,0,23,26,88.5,1,23,0,0,0
argentina,netherlands,argentina,0,nahuel molina,26,RB,24-247,1.es Atlético Madrid,105,1,0,0,0,1,1,0,0,56,1,1,2,0.4,0.4,0.0,3,1,36,45,80.0,1,26,3,1,0
argentina,netherlands,argentina,0,gonzalo montiel,4,RB,25-342,1.es Sevilla,15,0,0,0,0,0,0,1,0,13,0,0,1,0.0,0.0,0.0,1,0,10,12,83.3,0,11,1,0,0
argentina,netherlands,argentina,0,emiliano martinez,23,GK,30-098,1.eng Aston Villa,120,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,19,37,51.4,0,23,0,0,0
argentina,argentina,croatia,0,julian alvarez,9,FW,22-316,1.eng Manchester City,73,2,0,0,0,2,2,0,0,25,1,0,1,1.0,1.0,0.0,1,1,13,15,86.7,2,17,2,0,0
argentina,argentina,croatia,0,paulo dybala,21,FW,29-028,1.it Roma,17,0,0,0,0,0,0,0,0,16,3,0,0,0.0,0.0,0.2,1,0,7,9,77.8,2,7,0,1,0
argentina,argentina,croatia,0,lionel messi,10,FW,35-172,1.fr Paris S-G,90,1,1,1,1,1,1,0,0,53,0,0,0,0.9,0.1,0.5,5,2,35,42,83.3,2,42,4,9,4
argentina,argentina,croatia,0,alexis mac allister,20,"LM,CM",23-354,1.eng Brighton,85,0,0,0,0,2,1,0,0,48,1,1,3,0.3,0.3,0.1,3,0,30,36,83.3,0,37,3,2,0
argentina,argentina,croatia,0,angel correa,15,CM,27-279,1.es Atlético Madrid,5,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0
argentina,argentina,croatia,0,enzo fernandez,24,CM,21-330,1.pt Benfica,90,0,0,0,0,1,1,0,0,58,4,0,1,0.0,0.0,0.1,3,1,42,48,87.5,7,44,3,1,0
